,Name,Abaddon,Alchemist,Ancient Apparition,Anti-Mage,Arc Warden,Axe,Bane,Batrider,Beastmaster,Bloodseeker,Bounty Hunter,Brewmaster,Bristleback,Broodmother,Centaur Warrunner,Chaos Knight,Chen,Clinkz,Clockwerk,Crystal Maiden,Dark Seer,Dazzle,Death Prophet,Disruptor,Doom,Dragon Knight,Drow Ranger,Earth Spirit,Earthshaker,Elder Titan,Ember Spirit,Enchantress,Enigma,Faceless Void,Gyrocopter,Huskar,Invoker,Io,Jakiro,Juggernaut,Keeper of the Light,Kunkka,Legion Commander,Leshrac,Lich,Lifestealer,Lina,Lion,Lone Druid,Luna,Lycan,Magnus,Medusa,Meepo,Mirana,Morphling,Naga Siren,Nature's Prophet,Necrophos,Night Stalker,Nyx Assassin,Ogre Magi,Omniknight,Oracle,Outworld Devourer,Phantom Lancer,Phoenix,Puck,Pudge,Pugna,Queen of Pain,Razor,Riki,Rubick,Sand King,Shadow Demon,Shadow Fiend,Shadow Shaman,Silencer,Skywrath Mage,Slardar,Slark,Sniper,Spectre,Spirit Breaker,Storm Spirit,Sven,Techies,Templar Assassin,Terrorblade,Tidehunter,Timbersaw,Tinker,Tiny,Treant Protector,Troll Warlord,Tusk,Undying,Ursa,Vengeful Spirit,Venomancer,Viper,Visage,Warlock,Weaver,Windranger,Winter Wyvern,Witch Doctor,Wraith King,Zeus
78,Silencer,1.5328,-0.0034,0.52,-0.874,0.6265,0.5413,-0.5908,-0.4886,-0.5577,-0.3453,-0.4977,0.3063,2.1813,0.1282,0.3314,-0.2933,-1.9463,0.762,-1.06,-0.7578,0.8175,0.5968,-0.0912,0.792,0.6584,0.4575,0.9667,-0.134,0.5424,1.2505,-1.2293,-0.1203,-0.7006,-0.8659,1.222,-0.6795,1.1446,0.2548,0.3829,-0.2733,-0.2539,0.0292,0.9221,0.193,0.1469,-0.1088,0.335,1.1285,-0.6033,-0.2028,-0.7438,0.4653,1.2038,0.4585,1.4552,0.2854,-0.9193,1.4066,0.0422,0.1724,-0.9493,-0.1332,0.5386,-0.2706,-1.3577,0.4677,-0.0972,0.1912,0.5311,-0.1094,0.0133,1.0307,0.1899,0.9535,0.4373,-0.3084,0.5736,0,1.6149,-0.367,-0.7846,1.5003,2.3188,1.9778,-0.6889,-1.2366,-0.0578,-0.6076,-1.7657,-0.5206,1.6875,1.1642,0.4522,0.8405,-0.3198,-0.6762,-0.4117,-0.7954,-1.5866,0.2717,-0.1022,-0.7374,0.1315,0.1659,0.2301,1.921,0.6483,0.5841,0.0414,-0.2697
79,Skywrath Mage,2.8575,2.0772,-0.9969,1.567,3.3475,-1.4305,-0.8064,-1.0559,0.3714,1.1613,1.7276,-0.2969,-3.0664,2.1631,-0.566,-0.1216,1.2871,1.8354,0.8251,-1.7154,0.9846,-0.7794,-0.3609,-0.5826,0.6531,-0.6876,1.8513,0.5784,-0.3672,-0.2812,-1.0889,1.1666,-3.041,0.3064,0.1306,1.7186,2.2976,1.7729,-1.5398,0.95,0.5112,-0.9579,2.0624,-1.5557,-0.1359,1.2703,0.0382,-0.4472,1.5395,1.6712,3.9046,-0.796,1.3943,0.1536,0.203,-0.8492,1.9812,1.4465,-1.6009,1.6589,-0.1614,-0.6265,-1.333,1.7033,-2.3861,3.3455,-2.2269,-1.0104,0.3038,1.017,-0.7332,0.5803,-0.3971,0.4538,-1.4189,0.2302,1.978,-1.6407,0,-0.0142,-1.5478,2.7079,2.1355,1.4144,1.2182,-1.8312,-0.8033,0.5159,0.4674,2.3524,1.4871,-2.7214,0.6054,-0.1101,0.4615,0.7098,0.4157,-1.6285,0.6511,0.2449,-0.4291,2.7637,1.2469,-0.0792,-0.4878,0.7587,0.4404,-0.56,1.4418,-0.9101
80,Slardar,1.7501,-1.0541,-1.3549,0.5043,1.5966,-1.8558,0.8345,0.7213,1.7212,-0.3611,0.1739,1.4417,1.0897,2.3481,0.93,3.0423,0.7939,0.7014,-0.4009,-1.5137,-1.0949,-0.165,0.135,-1.3858,-0.4917,0.4956,0.3831,0.7353,-0.1265,-1.8736,-0.6182,0.1453,-1.3637,-1.6864,1.5354,2.0578,-0.6529,2.1261,-0.3574,-1.3765,-0.5001,0.1103,-1.0401,1.6522,-1.1649,0.3216,-0.2165,-0.6642,1.8479,-0.0484,3.6784,-0.1174,0.6937,1.741,-0.9316,-1.5137,2.2272,2.2533,-2.2034,1.1333,-0.9212,-0.9693,-1.5702,1.7956,-0.8915,2.2214,-2.0955,1.8843,-2.0851,2.4117,-0.6969,1.8882,-1.6651,-0.6592,-0.4463,1.7175,0.3661,0.2179,-0.2325,0,-0.2738,-1.2537,-0.469,0.7667,0.8301,-1.3737,-1.8342,-1.1416,0.9551,0.1554,1.265,-3.794,-1.8312,0.4729,0.1711,-1.5226,0.826,-0.4048,0.213,-0.2863,0.7395,1.4217,0.2637,0.95,-0.3363,0.4489,-0.146,0.0639,1.2302,-0.6925
81,Slark,0.7676,-0.4461,0.679,-3.1229,1.3858,-0.0645,-0.515,1.0251,0.1784,-0.7349,-0.9859,-0.4062,-2.6682,-3.5884,-1.4425,0.6091,-0.3946,-1.825,1.3674,-0.2783,1.4011,0.8369,-0.2785,1.2336,-1.2197,1.2169,-0.7785,0.8826,0.4584,0.937,-0.0866,0.3031,2.4684,-0.2239,0.9583,-1.7665,1.1744,1.3778,0.8355,0.233,1.1443,-0.4832,-1.2077,0.3427,1.6462,0.298,0.6017,0.7968,-0.6315,0.8444,-3.1178,1.2272,0.953,1.6268,-0.4927,0.939,1.2783,-0.1566,-0.1354,-2.3891,-1.6138,0.7321,0.622,0.808,1.0818,1.5377,1.5228,0.6362,-1.3612,0.6223,0.4703,0.5174,-1.7261,1.0823,-0.6512,0.1496,-0.2955,0.9615,1.7256,-0.042,0,-0.0668,0.4725,-1.5379,-0.6582,-0.6397,0.4264,0.3434,-1.463,2.8328,4.6674,-0.3131,2.0191,0.2966,-0.4405,-0.7741,-0.4536,1.3806,-2.7531,0.73,2.1668,-0.2252,2.7697,1.6514,-1.4587,1.0942,0.5512,0.8746,-1.033,1.068
82,Sniper,-1.7578,-1.3514,-0.2708,3.3135,-1.9495,0.0707,-0.3472,-1.59,-0.8129,1.6787,-0.1976,-1.8614,-2.106,-2.5135,-0.3368,0.8209,-1.2447,-0.7972,0.4807,-0.0405,1.0707,0.9229,0.2868,1.8706,0.0253,-1.8205,-2.3544,1.3133,0.8915,2.7238,-0.6276,-1.9742,-0.1184,2.7973,-1.92,-0.4558,0.9964,0.1095,-1.1056,0.0021,-1.2757,0.1991,1.1559,-0.1811,-1.8168,-1.5344,0.6806,1.2521,-1.4955,-2.5574,-1.9822,0.6514,-3.0358,0.4236,-0.6083,0.9075,-0.2785,-2.3937,1.6587,-0.6387,1.2027,-0.8407,1.9591,-0.1045,0.9798,0.4832,0.8344,2.2489,0.2539,0.6508,1.4131,-1.9427,1.9282,-1.0191,1.2595,0.1931,1.0067,-1.1749,-2.6799,0.3149,0.1067,0,-2.2982,-1.4694,0.5853,3.9059,-1.5491,1.1251,-1.725,-1.5264,-0.9117,1.1392,-2.1867,1.5436,-2.7843,-1.7543,1.2498,0.5497,-1.4523,-0.7453,-2.2857,-1.1839,-0.5815,-1.7297,-1.588,0.6109,-0.0979,-1.3317,-2.0084,-0.4523
83,Spectre,-0.4682,-0.3922,0.0393,1.6036,0.1645,-0.2057,-0.8051,-1.7123,-2.7375,0.2088,0.3526,-0.2062,0.4,0.9851,1.765,0.89,0.1276,0.5683,1.3918,-1.3631,-2.3613,0.7038,-3.026,-1.6836,-0.4848,-0.9839,-1.162,-1.5561,-1.7056,-2.0949,-0.9121,1.2586,-3.6362,-0.7085,0.4833,0.7293,-0.118,1.7715,-1.5121,-0.7575,-0.1555,-1.4093,1.3218,-1.9888,-0.1974,0.0093,-1.0194,-0.6976,-0.8314,-1.1554,1.4931,-2.1593,-2.5726,0.8162,0.2823,0.8168,-0.3866,2.3136,-2.1003,0.6985,0.4463,-0.4148,-0.7086,-0.2593,-1.9353,0.8274,-0.9117,-1.1434,1.1951,-3.0653,0.4489,-1.4423,-1.5264,-0.6145,-1.282,-1.476,0.2638,-2.0653,-1.9613,0.0644,-0.4146,1.9462,0,3.8985,0.8877,1.1528,-2.8778,0.213,-1.4284,-2.3689,-0.7423,-0.4583,0.7866,-0.5512,-0.1371,-0.5133,0.8659,-3.3476,-1.264,-0.4983,-3.0651,0.629,-2.2381,-1.3588,0.4204,1.2436,-1.1579,-1.0167,-0.1653,-0.0887
84,Spirit Breaker,0.5251,2.8875,-1.3566,4.0604,0.0934,-1.4247,-0.4778,0.1206,-2.065,-0.3162,1.8562,-0.6126,2.0833,0.6362,0.5049,-1.5186,3.2642,0.4288,-1.8202,-0.5513,1.2182,1.789,-0.1336,-0.4176,0.8938,-0.5484,-2.8286,0.8326,-1.5577,2.0938,1.8481,0.4168,-3.9216,-0.2778,-0.5306,1.5638,2.446,4.268,0.8843,4.1595,0.8419,0.6174,1.8395,-1.0076,-0.1662,5.0862,-0.4185,-0.8456,0.0704,-2.3624,1.572,-1.4926,-1.3158,2.7679,-0.986,0.0649,-1.7577,-2.5069,2.9895,-0.2299,-0.2463,0.0689,2.9808,2.1534,-0.5945,-1.8894,2.2052,-1.3038,1.4835,-0.9664,0.157,-1.2864,-0.5941,-0.0968,-1.1596,0.9564,1.186,-2.0924,-1.4673,-1.2122,1.643,2.2977,-2.9916,0,0.7323,1.9965,-0.2549,0.2459,-0.6064,1.7814,2.3811,1.6474,-0.3771,-1.2526,4.2282,-0.2149,-0.8002,5.1205,-0.259,-1.2254,-0.3781,1.242,2.3275,1.4322,-0.5544,-0.864,-0.8639,1.1813,1.298,-1.1238
85,Storm Spirit,0.8972,-0.5103,-0.6146,-1.0913,-0.7389,0.1154,-0.6499,1.0773,0.025,0.0262,-0.6861,1.9871,1.4545,0.9254,-0.0664,1.8396,1.8033,-1.8947,1.0625,-0.3034,1.0093,0.9429,-0.4131,-0.2667,0.301,0.4295,-1.2282,-0.4382,0.2578,0.8826,0.8974,-0.095,2.076,-0.3974,0.6831,1.3099,0.6296,2.0681,1.0273,0.1902,-1.7619,0.6831,-0.015,1.2438,-0.0225,0.6794,-0.4937,0.6451,0.7229,-0.6843,-0.462,-0.1322,1.0893,5.5332,-0.1796,1.606,0.14,-0.2008,0.9478,-1.1316,-1.5998,-0.4924,0.8541,-0.0605,-0.1403,1.4482,0.4502,0.984,0.2147,-2.5373,0.2813,2.1741,0.0815,0.1339,1.0848,-0.4675,-0.4061,0.778,-1.2389,-1.3674,0.6626,-0.1804,-0.5215,-0.6721,0,-0.8476,0.9829,0.9788,-0.0384,-0.1913,2.2635,-0.368,-1.1187,1.0317,2.1032,0.5445,1.1954,0.7895,-0.0163,0.1035,0.5433,1.0022,1.3513,0.2595,0.793,1.4923,0.3614,0.8136,0.9899,-0.4769
86,Sven,1.7706,0.094,-1.993,3.9518,0.8089,-0.8924,0.3858,-1.0691,-0.2135,-1.6503,0.0278,-0.2356,-0.6502,-0.8708,1.6886,1.197,2.3108,1.4087,-2.0071,-1.3798,0.6273,0.8561,0.8348,0.032,0.1116,1.9051,1.6013,3.1811,0.0964,-0.7124,-2.0198,0.3708,0.0197,-0.8551,0.1046,3.2466,0.064,2.6348,0.1176,-1.1391,-0.2533,0.9209,0.3917,-0.5256,-0.6437,-0.4773,0.7006,0.2275,1.225,1.3902,0.9417,1.4262,1.7182,0.3724,-1.4503,0.2595,-2.0595,-2.6375,-0.3718,2.2323,1.3239,-0.5062,1.2063,1.2025,2.1388,-0.6247,-1.4604,-0.1886,-1.698,2.7485,1.134,0.8125,1.0283,0.2271,-0.1966,-0.4924,1.0801,1.3863,1.9872,1.2875,0.5733,-3.4455,-1.0864,-1.9837,0.7431,0,0.252,-0.3151,0.9816,-0.5295,1.8378,-2.0594,-1.5984,1.215,1.1073,2.0075,-0.2008,0.1798,0.3598,0.0181,-0.3113,1.399,3.039,-0.518,0.0446,0.0742,0.6826,0.1624,-0.0519,-1.9703
87,Techies,-0.8941,0.6516,0.3462,-1.9717,1.1739,0.4906,-0.0996,1.2742,-2.0702,-0.1681,-0.4969,-0.0221,-0.431,-2.5795,-1.3139,-4.3588,-1.4786,0.1109,1.2861,0.4022,-1.7466,-1.8366,-0.612,-0.813,-0.0602,-0.3956,0.6198,-0.8599,-0.3414,-0.7753,-0.5391,1.047,0.9664,-0.2537,-0.4576,-0.7717,2.371,-1.3556,0.5497,-0.4387,0.5981,-0.4072,-0.4923,-1.4335,1.2194,-0.5895,0.8453,0.5516,-2.3215,-1.1529,-3.4733,-1.7239,2.8663,-6.4898,1.2234,0.6047,-1.9104,0.4946,-0.1839,-0.253,-0.9802,-0.2931,-0.3394,0.3718,-0.6758,-2.8459,1.6509,-1.3034,0.705,0.9136,-0.3391,1.0114,-0.6677,0.7246,0.0482,0.311,-0.2961,-0.1173,0.7533,0.6542,-0.9245,1.7454,2.7489,0.4967,-1.3091,-0.9984,0,0.5123,0.6891,-0.1229,-1.2375,1.6998,2.636,-0.0734,0.072,1.6085,-1.6867,0.5289,-0.2071,-0.8974,0.8165,0.6511,0.4827,-1.7951,1.1754,2.5217,0.6343,0.2028,0.7124,0.2682
88,Templar Assassin,-0.6961,-1.6886,0.0906,0.777,1.3474,-1.1716,2.6649,2.0516,9.5708,-2.9429,-2.1092,2.3032,-1.0311,4.7072,0.3464,0.2423,9.0062,1.4472,-1.23,-1.2826,-2.5026,0.6244,-0.9277,0.2453,1.5183,0.5812,0.8161,-0.8051,-1.508,-1.7285,-1.5401,3.3665,2.2539,-1.1043,-0.5842,0.4697,-1.3849,2.157,0.9568,-3.0485,0.6882,-1.392,-1.1317,4.9684,-1.9596,-0.3327,-0.0234,0.7045,9.4584,0.8688,4.9716,-0.4632,1.1978,0.5841,-1.4116,-0.5482,4.2278,5.643,-2.2806,0.835,-1.0462,0.5645,-2.7246,2.6487,0.0149,-0.4743,0.6619,-0.1946,-1.9352,0.9177,-0.6337,-0.9382,-4.8235,-0.0082,-1.0258,1.9251,-1.8038,0.3389,-0.7749,1.1257,-0.7302,-2.2561,-0.9099,-0.7173,-1.5221,0.0972,-2.0848,0,1.2813,1.1903,-1.7789,-1.8417,-1.1328,0.815,2.7464,-0.2794,-0.3408,-1.5234,-1.5619,2.2122,0.9706,0.6317,5.4247,-0.1627,-3.3083,0.9909,0.7332,-0.9772,0.8171,-2.4744
89,Terrorblade,-0.1759,0.2546,-1.8575,-2.2856,-0.8898,0.0489,-0.3598,4.1783,0.9548,-0.1165,1.4834,2.0321,1.3967,2.4816,0.2961,3.1355,1.4768,-0.1266,-1.5349,0.5017,3.8076,-0.3652,0.746,-0.3791,1.7089,2.7042,0.2191,-0.7286,-1.3815,-1.5582,0.8031,1.6289,1.1043,0.4863,2.4118,0.1464,-2.7954,-0.2334,1.9641,-2.9236,-1.1198,-0.5869,-2.1614,0.7462,-0.3382,-4.447,-0.4402,-1.4202,1.7193,0.4316,0.7145,-1.1343,-0.7045,1.5587,-2.6865,-1.9473,3.3536,-0.9881,-2.5367,-0.0008,-2.7672,0.3405,-2.2882,-1.2772,-1.0783,4.0345,0.7785,-2.2384,-1.182,-0.7272,-0.8017,0.9105,-1.5923,-2.3136,2.3596,-0.0178,-1.7158,1.609,-0.6738,-0.9506,0.917,0.036,0.6056,0.1499,-0.5056,-1.1205,-2.176,-1.2965,0,1.8214,-0.8216,-1.8495,-1.3379,-1.1709,1.2145,1.2642,-0.3673,-0.1285,-2.1068,-0.7782,4.075,1.6701,-1.9179,1.5838,0.4679,0.8121,0.8214,0.2269,-1.5523,-2.9601
90,Tidehunter,0.3649,-0.8398,-1.7912,-1.4937,1.3189,2.2326,-0.5768,0.8507,-1.9445,0.3102,0.4183,1.7707,0.1144,1.0145,0.5602,1.1538,-3.1622,-1.0806,-1.8532,0.7817,2.7132,-1.8277,-0.5917,-1.4003,-0.9258,0.4939,0.7299,0.6567,0.9427,2.3534,2.0174,1.1098,0.1776,0.3247,1.5025,1.3173,1.455,-1.7976,0.9536,-1.2494,0.3785,1.2545,1.7499,1.5987,0.285,-2.0232,2.2585,0.2639,1.6403,0.6113,-1.1768,0.5562,0.2614,-0.6265,-0.8676,0.9923,0.1297,0.4219,-1.1961,-0.3323,1.0062,-1.1124,-2.6536,-1.881,0.7768,2.2199,-0.3425,1.0544,-0.5157,0.3922,1.0619,-0.1582,-1.27,-1.0082,2.7076,0.6272,-0.4807,0.4879,-2.3397,-0.2282,-2.6193,1.3708,2.3396,-1.8598,0.1155,0.5962,-0.3907,-1.3346,-1.8755,0,0.4239,4.0371,4.1208,0.4951,-1.0737,1.1563,-0.4354,-1.6071,-0.5549,-1.6281,-1.4084,-1.6805,-3.1263,1.6965,1.1561,0.4468,0.4368,-0.5135,-2.6405,1.9778
91,Timbersaw,1.421,4.1119,2.7552,1.5212,0.2441,0.0732,3.3644,0.2136,0.4891,-0.0099,0.5344,2.1336,0.6237,1.9757,-1.572,-2.2994,7.6143,4.0526,0.3637,0.8718,1.2242,-0.4074,1.8874,-0.3801,0.752,-2.4191,1.1813,1.0315,-1.7391,0.7253,0.3968,1.0486,-0.1436,-1.7592,0.1255,1.2182,-0.3403,4.9368,-0.1349,0.3432,1.0701,0.7567,-1.8427,13.3476,0.3626,0.3293,-0.7594,-2.0108,6.6182,1.1394,2.3918,-1.0517,-0.6917,3.9403,-0.7577,0.2362,0.7942,6.548,-0.3402,-2.0833,-1.722,-2.5632,0.1422,2.341,1.8186,-3.2336,-0.3214,4.7676,-1.645,2.0971,-1.2703,0.5022,-1.9823,-0.3063,-1.3524,1.3536,0.9994,-1.6916,-1.5093,-1.3838,-4.4129,0.6058,0.7503,-2.4562,-2.2705,-1.7513,0.4044,1.6928,0.7434,-0.4124,0,0.5645,1.0375,2.3911,-0.8417,-1.4594,0.4902,0.8557,2.7578,-2.1224,1.8957,0.0253,4.985,-0.3034,-1.4267,2.3592,-0.1607,-0.4491,-3.4205,-0.8666
92,Tinker,-0.5349,-0.734,1.1749,0.2847,2.6462,-3.9643,2.0484,2.9764,-3.9016,1.5655,1.9522,-2.715,-2.1155,-3.5427,-2.622,-4.5625,2.1253,2.4338,-1.2927,-0.2717,-2.0052,-1.2492,3.4545,-0.6822,1.7787,-1.6843,1.3151,1.0422,-0.9604,-1.2145,1.9564,1.0384,-0.6439,2.1849,0.6289,0.5624,1.1007,1.9429,-0.6828,2.1091,2.5688,-0.2562,-0.2458,2.0998,-0.6961,2.8543,2.0152,0.2928,-1.5198,0.9399,-3.6576,-0.5238,0.9827,-3.7525,-0.1525,-0.9125,-2.6535,-1.2224,1.2334,0.3034,2.4324,1.2637,-1.4667,0.0857,2.4273,-5.3543,-0.1335,1.5998,0.7958,4.1615,1.9857,-0.596,-2.0367,0.3703,-2.2109,-1.9804,0.5817,-1.0131,3.4324,3.5996,0.3271,-0.9701,0.4555,-1.331,0.5043,2.082,-1.7833,1.2174,1.1672,-4.5593,-0.7607,0,1.7706,0.8059,-1.7897,-1.7256,-0.8061,-2.367,1.4683,-0.1589,-0.5673,-0.887,0.5096,-1.2429,0.9127,0.463,-4.9046,-0.1391,-0.6295,1.5212
93,Tiny,-0.9048,1.3504,-0.9177,2.8521,3.655,-1.8537,1.3038,2.6518,-1.0799,-1.3408,-0.3984,0.32,0.5225,0.471,0.9338,0.7988,1.797,0.6991,1.7734,-1.2878,-1.0556,-1.7119,-0.1774,-1.8361,1.4777,0.5508,-1.731,-0.2897,-0.9515,-0.8199,0.3061,-0.2097,-1.2043,-0.9459,-0.5452,1.2143,0.4067,-0.2774,-1.2087,0.5941,-1.5883,-0.7128,0.3125,-1.165,-1.8272,1.7368,0.7149,-0.6771,-0.6516,-1.1306,-0.046,-0.7779,1.6488,1.9971,-1.5351,-0.7102,1.0457,-1.0228,-1.4157,1.4234,2.6377,-0.0768,-1.6916,2.0041,-1.5553,1.2971,-1.7907,0.5822,0.9669,2.0885,0.8199,0.2867,-2.3759,-0.162,-0.0508,0.0953,-2.264,-0.0574,-0.271,1.9074,-1.9986,1.2698,-0.8458,0.8292,1.2257,1.7873,-3.0765,0.9971,1.2086,-4.1171,-0.9151,-1.8919,0,0.6768,1.1805,-1.0954,1.8025,-0.5793,-0.2567,-1.3939,-0.9833,1.0456,1.9627,-0.2601,0.5707,-1.1616,-1.273,-0.3168,0.2726,0.1405
94,Treant Protector,-1.0867,-0.4991,-0.7812,-1.7412,-2.1721,-2.1343,-0.0191,0.6009,-0.7359,-1.4076,-0.9035,-0.1742,1.8588,-2.7087,0.1893,-0.3423,-2.9116,-0.5367,0.4022,-0.6385,-0.2814,0.276,1.1982,0.0646,0.1046,-0.1554,-0.7533,-1.3241,-0.1225,-0.3848,0.1981,0.8286,0.3395,-1.699,-0.5548,1.0702,-0.4949,-3.0231,0.5529,-0.5153,-1.1084,-0.1345,-1.3487,-0.4453,-0.2414,2.8334,-0.3665,0.0497,-2.6993,-1.1135,-1.2261,-0.1261,0.0501,-2.6779,-1.5232,-1.5585,-2.0193,-0.9601,0.9328,-0.5928,-1.0806,0.4359,-0.0563,-1.2855,0.2034,-1.6328,1.4655,-0.479,-2.0182,-1.3296,0.1503,0.6894,-2.3872,0.3093,-0.3956,-1.2413,-0.25,-0.6088,0.2688,-0.4004,-0.472,-2.5237,0.0327,1.2898,-1.2182,-1.2143,-1.2777,-0.8399,1.2326,-0.2453,-2.288,-1.3506,-0.7687,0,0.9855,-2.0227,-0.2023,1.5906,-2.0315,-0.3216,0.9474,2.1642,-0.1049,0.4583,-0.1255,0.0649,-0.2436,0.5378,0.523,-0.2869
95,Troll Warlord,0.0313,0.5572,0.9104,0.7318,-1.3121,-0.1323,-0.2042,0.4251,1.3585,0.2483,0.3337,0.0437,0.1258,1.2791,-1.381,1.8583,-1.0966,0.0479,-1.1544,0.6259,0.9575,0.4986,2.5232,0.4958,0.7719,-1.093,0.5863,0.2612,0.3723,0.5167,0.2811,0.564,0.8566,0.5465,1.7808,0.6452,1.2538,-1.3138,2.7323,1.0834,0.8085,0.1173,-0.0907,1.6477,-0.0045,0.0686,2.1528,0.2031,1.3524,-0.0563,0.2323,0.8149,0.2818,1.4338,-0.7118,-0.6809,1.2407,0.7181,0.173,-0.447,-1.1505,-1.0934,-0.3551,0.7643,1.9504,3.1746,1.8746,-1.9136,0.1897,0.0618,-0.8003,1.4816,0.0994,1.4904,0.8706,-0.2197,0.5571,0.2319,-0.5058,-0.0561,0.4998,2.4537,0.4713,-4.1757,-1.964,-0.8719,-0.4884,-2.6015,-0.9877,1.0529,0.8772,1.6714,-0.5885,-0.3874,0,-0.958,-0.2192,1.7432,1.1557,0.5484,-0.155,-0.0093,1.6741,0.6509,0.0086,1.6392,0.4108,1.5324,-1.7672,-1.2695
96,Tusk,-0.737,-2.1727,-0.1099,-2.7787,-0.8269,3.2324,0.7441,0.8025,1.1536,-0.6122,0.2524,1.4864,1.6372,-0.3216,1.8622,0.8329,-1.3337,-0.8699,-0.5705,2.3362,-0.2599,0.261,-0.7338,-0.4687,-1.0831,0.352,-0.2414,-2.5636,0.6358,-0.3003,-1.6205,0.4457,0.9627,-0.9987,1.4108,-2.8252,0.6036,-1.6308,1.201,-1.6666,-0.9765,-0.1238,-1.2393,2.0191,1.051,-2.9258,1.3936,1.9066,-0.874,-0.4049,-2.4887,0.0823,-1.5018,-1.0388,1.0153,-0.4251,0.3048,1.577,0.0249,0.5258,-0.5977,1.9898,-0.7713,-0.118,-0.0317,0.8306,-1.8988,-1.5117,-0.0153,-0.573,-0.3038,0.1481,-2.0089,0.5364,1.9686,0.7944,0.1821,0.6827,-0.7409,1.4835,0.682,1.2505,0.4971,0.071,-0.6858,-1.9472,-2.1321,0.14,-1.3616,-1.1535,1.4541,1.4472,1.1745,2.1264,1.0827,0,-0.0255,-0.0572,-1.3459,0.324,-0.7987,1.1298,-1.1045,-0.7019,-0.3637,2.5736,1.9253,1.2838,0.0176,-0.0187
97,Undying,-0.4677,-1.6734,-0.9609,-0.3975,-2.563,-1.0284,-0.9101,0.3893,-2.1839,-1.6101,-1.9326,0.4368,0.0057,-0.6216,0.5718,1.4633,-1.3008,-1.4537,0.0973,-1.6253,-0.9133,0.9608,-0.6244,0.4605,-0.0897,1.0499,-1.9206,-2.1627,-0.5964,-0.4752,0.1462,1.0135,0.4549,-0.8039,-0.255,0.3723,-2.1547,0.5852,0.9943,-1.7592,-2.1131,-0.9425,-1.1955,0.3933,-0.6281,-0.0908,-0.7647,-0.4853,-1.6274,-0.0936,0.436,-0.0968,-1.0498,0.3849,-1.8656,-0.3351,0.2394,-0.9433,-1.1899,-0.3473,-1.4747,-0.1857,-0.8227,-1.631,-0.2592,0.9761,0.0196,-0.2199,-3.2532,-1.4996,-0.2987,-0.5122,-1.6174,-0.7443,0.5178,-1.201,-0.2366,0.1097,-0.7817,-0.837,-0.2702,-2.9152,-1.8808,0.1165,-1.9661,-0.1517,-0.6783,0.3532,0.3379,0.2872,-0.6841,-0.4416,-2.1236,0.0478,0.4134,-0.1769,0,-0.5795,-1.0055,-0.2403,-0.221,0.3045,1.3051,-0.9054,0.1597,-1.1045,0.5563,0.033,-0.5811,-1.1086
98,Ursa,-2.6622,1.0898,1.192,3.7056,0.4814,-1.1167,-1.3698,0.6915,-0.909,1.5223,1.545,-0.4984,-1.0989,0.7674,-2.7662,-1.8833,2.0291,1.9893,-1.1068,-1.2635,1.2451,-0.9443,-1.457,-0.1407,-0.2053,-2.0944,2.3265,-0.5075,0.0108,1.0433,3.3889,0.5807,0.761,2.2288,2.2832,0.1082,0.8042,0.451,-0.4953,0.6856,-0.4682,0.6869,0.9299,-1.3086,0.2167,-0.1965,1.4539,-0.9254,1.7506,1.5889,1.0774,-0.0521,2.9455,-0.0812,-0.0041,-0.2154,0.1469,2.3376,-0.8496,-1.0944,-1.6826,-2.0519,-3.3708,-2.0208,0.5352,0.4391,0.9667,-0.6894,-1.7151,2.343,0.1888,0.1137,1.0765,0.472,-0.5627,-1.3385,1.6176,0.7395,1.4995,0.4039,-1.2353,-0.3002,3.1743,-5.069,-0.8277,-0.067,-0.9623,1.5007,0.1717,1.5822,-0.8016,2.072,0.8413,-1.1387,-1.7667,0.0841,0.5648,0,-0.6195,-0.8557,0.9548,-0.1835,0.4923,-1.0294,1.5519,1.2347,-1.4163,0.3189,-2.8408,-0.7762
99,Vengeful Spirit,-0.5107,-0.6963,-0.3865,-0.3997,-0.6762,0.4594,-0.0295,0.6255,0.2406,0.4779,0.0627,1.5166,2.6378,1.5307,0.3277,2.7474,-2.5395,-0.3219,-1.1552,1.2675,0.667,-0.0553,0.9695,-0.2797,-0.2353,0.2658,1.2944,-1.0953,1.0551,0.4906,-0.7633,-1.0792,0.4375,0.2575,0.5251,-1.0771,2.0706,-0.716,0.7564,-1.2167,0.044,-0.215,-0.1219,-0.8098,0.6027,-1.7744,1.4356,2.4261,-2.6942,-0.8444,-0.9198,-0.1989,-1.0466,-2.2315,0.7243,-1.4686,1.6069,1.0129,-0.7958,0.8179,0.3036,1.744,-0.8216,-0.9271,1.3639,4.1308,-1.2854,-0.663,-0.6675,-1.7266,0.0674,0.9072,0.7791,-0.1921,1.7072,2.1854,-0.4116,1.6081,-0.7287,-0.8967,2.7531,1.8874,1.5972,0.2871,0.0101,-0.4981,0.229,0.6985,1.492,0.3811,-3.1345,-1.1407,0.342,1.7881,-1.5592,1.0335,-0.0281,0.3965,0,0.5844,1.3111,0.8653,-1.5903,-0.6585,1.8652,3.387,0.689,0.5106,1.0559,-1.1312
