,Name,Abaddon,Alchemist,Ancient Apparition,Anti-Mage,Arc Warden,Axe,Bane,Batrider,Beastmaster,Bloodseeker,Bounty Hunter,Brewmaster,Bristleback,Broodmother,Centaur Warrunner,Chaos Knight,Chen,Clinkz,Clockwerk,Crystal Maiden,Dark Seer,Dazzle,Death Prophet,Disruptor,Doom,Dragon Knight,Drow Ranger,Earth Spirit,Earthshaker,Elder Titan,Ember Spirit,Enchantress,Enigma,Faceless Void,Gyrocopter,Huskar,Invoker,Io,Jakiro,Juggernaut,Keeper of the Light,Kunkka,Legion Commander,Leshrac,Lich,Lifestealer,Lina,Lion,Lone Druid,Luna,Lycan,Magnus,Medusa,Meepo,Mirana,Morphling,Naga Siren,Nature's Prophet,Necrophos,Night Stalker,Nyx Assassin,Ogre Magi,Omniknight,Oracle,Outworld Devourer,Phantom Lancer,Phoenix,Puck,Pudge,Pugna,Queen of Pain,Razor,Riki,Rubick,Sand King,Shadow Demon,Shadow Fiend,Shadow Shaman,Silencer,Skywrath Mage,Slardar,Slark,Sniper,Spectre,Spirit Breaker,Storm Spirit,Sven,Techies,Templar Assassin,Terrorblade,Tidehunter,Timbersaw,Tinker,Tiny,Treant Protector,Troll Warlord,Tusk,Undying,Ursa,Vengeful Spirit,Venomancer,Viper,Visage,Warlock,Weaver,Windranger,Winter Wyvern,Witch Doctor,Wraith King,Zeus
68,Pudge,-0.9801,0.5414,-0.4108,0.8156,-0.4469,-1.7102,-0.0307,0.1047,0.8102,-0.4744,-1.3389,0.2284,-0.0244,0.9298,0.0245,-0.3065,-1.3917,0.054,-0.5332,-2.154,0.5795,-1.0406,0.691,0.2421,1.9798,0.7239,-0.5833,-0.1871,-1.0107,-0.9996,2.0376,-0.4754,-0.6807,0.372,-0.9097,2.6452,-2.3633,-3.0291,0.194,-1.585,-0.1634,-0.5444,0.0259,0.2275,-1.5792,-0.0265,-0.9425,-0.4122,1.7462,0.7276,1.8362,-1.6819,1.2222,-1.9506,-2.3898,-1.4423,0.2501,0.2781,-3.3291,0.5324,0.1036,-0.5765,-0.8463,0.0342,-1.3787,-1.9072,-0.0426,0,-2.4969,0.1651,-0.932,0.735,-0.7629,1.1311,-0.4715,-1.1683,0.3275,-0.3297,0.694,-1.8829,-1.0741,-3.3155,0.3703,0.7947,-1.4995,-0.0716,-0.6575,0.2025,2.2348,-1.1011,-4.7935,-2.323,-0.8684,0.4451,2.1394,1.4157,0.2029,0.7362,-0.0373,-0.3125,1.688,0.65,0.9778,1.1167,-0.6226,-0.7295,0.3603,-1.2661,0.721,0.6401
69,Pugna,2.3051,-0.032,-0.0578,1.4981,1.4437,-1.1903,-0.4531,1.5426,0.99,-0.6581,-0.56,-0.3524,1.3781,1.0657,0.1824,2.7418,2.9483,0.1127,0.7552,-1.9844,-0.1865,0.7873,1.4581,-0.262,0.0679,-0.8968,-0.7305,0.7293,-0.2225,-1.2968,1.8933,-0.95,0.0099,-0.9722,-0.4445,0.6905,1.0757,3.1354,-1.6062,1.0478,-2.0353,0.2815,0.5415,-1.2406,-1.4906,2.9538,-0.4898,0.0179,0.7845,-1.3282,2.0548,1.0908,-0.575,2.9559,-1.0244,0.8919,0.3829,0.2423,-0.9983,0.3872,-1.1976,-0.5342,-0.0679,0.9488,0.9189,1.5422,1.5029,0.031,0,-3.1901,0.978,0.2944,-0.1129,-0.2357,-0.9396,0.4733,-0.8282,-0.1367,0.0692,0.6077,1.4003,-0.365,-2.0814,-0.7929,-0.0568,1.2969,-0.3943,-0.5391,-1.215,0.5227,1.5824,-1.1512,-2.6967,0.127,-0.2464,-0.7426,0.5213,2.0869,1.707,0.6086,-1.8552,-0.9325,2.9752,0.9211,3.0983,0.6276,-0.78,0.1017,1.5639,-2.1155
70,Queen of Pain,-1.2971,0.4717,-0.7165,3.2081,-3.2898,-2.1894,-0.4756,-1.9475,-0.1272,0.1523,0.5023,0.9102,0.6399,1.617,0.3316,1.6822,-3.399,0.8995,0.0665,-1.7254,-2.6671,-2.5146,-0.5045,-0.7689,0.0548,-0.2471,1.3312,-0.5869,-0.465,-2.2103,1.045,0.4435,-0.9288,-0.1829,1.018,3.5546,-2.0187,-3.4444,-0.9965,-0.616,-2.0228,0.1788,-0.1578,-0.4564,-1.8177,1.3873,-1.6187,-1.4346,2.1147,2.4176,2.878,-0.6702,1.4427,-0.4057,-0.5797,-1.2505,0.4344,2.997,-2.9072,2.1489,0.9263,-1.0345,-2.8524,-2.3561,-4.8806,0.9645,-1.9468,-0.1151,0.8041,0,-2.0688,1.5762,-0.4566,0.6681,0.5504,-2.6161,0.4701,-0.1469,-1.2967,-2.3648,-0.9177,-1.4707,2.2302,0.3879,1.8291,-2.7457,-2.126,-0.8984,0.749,-0.5063,-2.1501,-4.2346,-1.9621,1.371,-0.0277,0.4453,1.5345,-2.38,0.8313,1.1454,-0.4117,1.3506,-4.8111,0.3014,1.7077,-0.128,-2.5951,0.6897,-0.9204,-1.4085
71,Razor,0.9164,-0.9757,-0.9519,-0.6829,0.2259,-2.1174,-0.0604,-0.3484,-0.9442,-0.3855,-1.4204,-0.1513,-0.2298,-1.042,0.0446,-0.5636,-0.2415,0.3001,-0.6343,-0.9542,-0.8171,-0.3553,-0.1962,0.1724,-0.0699,0.4945,-0.0775,0.7623,-0.1514,-0.7903,0.4874,0.4359,0.0891,0.8607,-0.1161,1.2446,-2.012,0.1101,-0.2385,-2.1343,-1.2132,0.0831,-0.3226,0.5362,-0.7421,-1.3045,0.0211,-0.617,-0.6607,-0.8361,-0.2143,0.2648,1.5419,1.7126,-2.21,-0.6517,0.3661,-0.5908,-1.3361,-0.143,0.0792,-0.7101,-2.4464,0.0381,-1.0861,-1.1174,-0.7595,1.003,-3.5411,2.3164,0,-0.1317,-1.8481,-1.003,-0.8355,-0.7672,-0.0705,0.0437,0.6442,0.8248,-0.8835,-3.0103,-1.164,-0.4235,-0.7597,-1.2917,-1.4786,0.7276,0.8637,-0.9478,1.2994,-2.7825,-1.1051,-0.1961,1.279,0.3483,0.2974,0.0409,-0.6428,-0.9519,0.169,0.6921,0.7693,0.0744,-0.1743,-1.211,-0.8811,0.2392,-0.0888,-0.2427
72,Riki,-1.3247,-0.3663,-0.3539,0.413,-3.373,-1.3276,-1.1205,-1.4433,0.2058,0.2363,-1.6925,-0.1405,-0.5043,-0.1801,-0.1652,1.6036,-0.5022,-0.9634,1.0649,-0.1744,-0.3371,-0.2935,-1.1996,-1.1029,0.6771,-0.0394,0.4001,-1.7922,-0.2516,0.1041,0.7845,1.4728,0.2791,-0.5233,2.1943,0.9299,-0.4924,-1.9128,0.0503,-1.8017,0.0375,-0.6655,-1.1976,0.9429,0.4821,-1.9446,0.1573,-1.6298,0.3723,-0.0983,0.8128,-0.3038,0.5986,3.0065,0.2759,0.1192,0.0765,1.3751,0.5795,-1.9234,-1.4849,-0.1085,-3.4966,-1.9892,0.4464,1.3601,0.7539,-0.7085,-2.0264,-1.5768,0.2316,0,-2.5841,-1.8855,1.3012,-0.4542,1.3132,-1.2886,-0.8763,-1.8729,-0.9442,0.3648,0.4496,0.6592,-2.6674,-0.9701,-2.6634,0.9334,-0.8739,0.0014,-0.6486,-0.1796,-0.4347,-0.5997,-1.4532,-0.3526,0.5435,-0.1829,-1.8879,-1.0581,0.4554,1.6854,-1.1831,0.7112,0.746,0.0394,-0.2674,0.934,-1.2499,-1.013
73,Rubick,-0.3693,1.0624,-0.887,-1.2733,-0.1591,0.8545,0.7621,-0.3806,0.2635,1.5175,4.4876,-0.3593,3.4557,2.2635,0.1529,-0.2572,2.3967,-0.3209,-1.893,-0.429,0.5559,0.097,-1.0028,0.3021,0.8348,0.8101,-0.5375,1.6065,0.0915,0.3495,-1.0741,0.1445,-2.2779,-1.0114,-0.8774,-1.5538,1.0529,2.462,-0.7943,0.1473,-0.0014,0.0681,-0.156,-1.5405,-1.4482,-1.832,-0.0757,1.02,0.6691,-0.8018,-0.1507,-0.8168,-3.108,-0.7782,0.6763,-0.0773,2.0384,0.6858,0.8986,0.1471,-0.875,0.2055,0.3295,-0.1081,-0.6656,-0.3023,-0.2966,-1.4815,0.52,-1.3877,-0.4262,0.6448,0,-0.9044,-0.899,-1.7676,0.7712,-0.6168,0.1247,0.0018,0.9408,-1.6143,1.1227,0.7404,-0.5331,-2.2965,0.6606,3.2349,-0.4639,0.7237,1.3973,1.876,1.6534,0.8718,-0.9048,1.2118,-1.1036,-2.1458,-0.965,0.088,0.2578,-0.6702,0.8249,-1.4064,-1.8116,1.2896,1.2121,-2.1494,-1.3709,0.4079
74,Sand King,-1.184,0.22,-1.1715,-0.3534,1.1043,-0.4923,-0.1218,1.0763,-0.9115,-0.0087,-1.1144,0.9469,1.3083,0.4281,-0.4911,0.4551,3.3185,1.2087,0.2561,-2.9374,-0.2557,0.0609,-0.0742,-0.9619,-0.1754,-0.2362,1.2231,1.542,-1.657,-0.8078,0.9039,1.4654,-3.1617,0.645,-0.1995,0.1691,-0.7364,1.2599,-2.2353,-1.1569,-0.0141,-1.2065,-0.3528,-0.3825,-2.0533,0.2484,-0.1157,-1.0833,1.4686,-1.6632,1.9665,-0.5198,-0.192,-0.4739,-2.469,-1.576,0.4979,0.4138,-1.5093,-0.4673,-0.7116,-1.2336,-3.6715,1.7318,0.4937,-0.5311,0.1877,-1.2242,-2.1411,-0.6514,0.973,1.9515,-0.5194,0,-0.7109,1.2496,-0.2775,-0.8297,-0.4103,0.7196,-1.2399,-0.1698,0.2629,0.0238,-0.362,-0.2637,-1.931,-0.0187,2.3598,1.2002,0.4325,-0.9153,0.0409,-0.2929,-1.1924,-0.4806,0.6377,-0.2511,-0.0903,0.0101,-1.7161,0.7832,2.278,-0.7738,0.0859,-0.2917,-0.1834,-0.115,-3.0436,-2.4945
75,Shadow Demon,-0.587,0.5859,0.4721,0.7368,-0.2002,-0.1182,-0.7807,1.0309,-0.7328,1.2549,0.4238,-1.6831,1.8705,-2.5519,1.0486,-4.9363,-0.6664,-0.7469,-0.8554,-0.3056,0.2269,-0.9947,0.456,1.4951,0.5818,-0.3034,-0.6049,0.9061,0.6561,1.8444,0.529,-1.1655,1.2419,-0.2262,0.06,0.8257,0.4519,0.045,0.7785,0.9575,-0.433,1.1388,-0.6121,1.1738,-1.1146,1.3083,0.3787,0.3486,-0.6135,-2.4275,-1.4718,0.8503,0.5754,-1.3267,-0.3455,1.1158,-3.0096,-1.0866,0.4538,-1.4323,0.1054,-0.9405,-0.3569,-1.8706,-1.0023,-5.5384,2.7236,0.366,0.1691,-0.709,0.8462,-1.5489,-0.139,0.7678,0,-0.3245,1.1383,-0.4322,1.3759,0.3661,0.567,-1.1777,1.2023,1.0069,-1.1706,0.2099,-0.7047,0.9023,-2.5093,-2.7263,1.3564,1.8526,0.2119,0.5282,-0.825,-1.9748,-0.771,0.6174,-1.8668,-1.3016,1.039,0.323,1.1774,0.1321,0.0818,0.1513,-1.938,0.8225,-0.3646,2.6574
76,Shadow Fiend,-2.5947,-1.0072,-1.6078,-1.463,-1.376,-2.4391,-0.0651,0.4601,2.7415,-0.2317,0.3772,1.7408,-1.4718,1.7845,-1.4301,3.1535,5.8307,0.9882,-2.4916,-1.3357,-0.9299,-1.1925,1.4856,-1.5018,-0.4789,-0.237,0.6815,-0.0998,0.7492,-0.9526,2.8195,1.1437,1.2107,-0.2841,0.6632,0.3104,-1.3834,-0.6397,2.5787,-1.7733,0.8068,0.1372,-2.3474,3.5442,-2.8417,-1.0415,0.3239,-2.0529,5.3868,-0.4954,5.1535,0.7813,0.8638,-0.2903,-2.5608,0.5429,3.4453,3.8438,-2.8125,-0.3126,0.3553,-1.2977,-4.1319,-0.8573,0.354,3.5265,0.3074,1.1627,-2.3225,2.5533,0.8736,0.4471,-0.5283,-1.1855,0.0627,0,-1.2357,-0.108,-0.6852,-1.6978,-0.652,-1.4861,0.6786,-1.5661,-0.2905,0.1648,-2.0247,-1.8716,0.0467,-0.878,-1.5386,0.7893,-0.3329,1.2023,0.1552,-0.9587,1.2537,1.1244,-2.9447,-0.4215,0.6562,-0.7423,-0.6165,-0.4123,2.0071,-0.5465,-0.831,-0.5291,-2.1552,-0.3562
77,Shadow Shaman,0.4998,-0.3864,0.4027,0.3584,0.7007,-0.8085,0.9192,0.0649,-0.5118,-1.1174,1.8217,0.3835,-0.618,-1.6144,-0.8785,-0.9438,0.2532,-0.1116,0.3779,-0.2884,0.2594,-0.0565,-1.7965,0.0762,-0.6126,-0.3202,-1.0309,0.3616,-0.3753,0.0114,0.1978,0.3263,0.607,-0.2627,-0.297,-0.1112,-0.0889,0.6638,-0.9442,-0.8117,-0.0966,0.5816,-0.8276,-1.0534,0.3288,-0.5876,0.4534,0.6084,-0.1718,-0.134,-0.6366,0.4532,0.3577,-1.7263,-1.0529,-0.2881,0.0418,-0.6319,-1.1504,0.7372,0.4772,0.9844,-1.8219,-0.1965,-1.582,-1.3102,0.6106,-0.5549,-0.7655,-0.5396,-0.1606,-1.57,-1.8229,0.2388,-1.0423,1.1947,0,-0.292,-1.8128,-0.4311,0.2641,-1.5659,-0.4429,-0.9936,0.3802,-1.0473,-0.6126,1.7877,1.6768,0.7911,-0.8808,-0.8448,2.204,0.2002,-0.1391,-0.0401,-0.1407,-1.4105,0.365,-0.134,0.0075,-0.2208,0.9596,-0.7091,-1.0335,0.4943,0.3941,0.1623,0.1694,0.8001
